Field Name,Segment,Format,Data Type,Length,Starting Position,,Ending Position,Required I/B,Required O/B,Definition," INBOUND VALUES
(Data from Partner to Express Scripts)","OUTBOUND VALUES
(Data from Express Scripts to Partner)",Comments
Processor Routing Identification,Header ,X(200),AN,200,1,-,200,Y ,N,MQ Header or Spaces,Refer to comments,Express Scripts Use Only,"MQ Record for Realtime
Spaces for Batch.  If populated by Express Scripts, Partner should ignore."
Record Type,Header ,X(2),AN,2,201,-,202,Y ,Y ,,"DT


","DT

",Always DT
Transmission File Type,Header ,X(2),AN,2,203,-,204,Y ,Y ,Identifies the specific function of the transmission,"DQ = Data Request    Used for initiating a claim event 
DR = Data response Used for responding to a claim event sent by the partner.


","DQ = Data Request    Used for initiating a claim event 
DR = Data response Used for responding to a claim event sent by the partner.

","1 Occurrence
For MQ connections: 
DR’s are required.  Both Express Scripts and partner must send a response to each transaction.
 
For XML connections:
DR’s are required.  Both Express Scripts and partner must send a response to each transaction.

For batch connections:
Express Scripts will send responses to the partner.
The partner is not required to send Express Scripts responses, but it is strongly encouraged.

Note:  A DR record should be an ‘echo-back’ of all data passed on the DQ record EXCEPT that the sender and receiver ID’s must be reversed from the DQ transaction AND the DR record should reflect the appropriate response code (see Transaction Response Status and Reject Code fields) to indicate whether the transaction was loaded successfully or not.

"
Version/Release Number,Header ,X(2),AN,2,205,-,206,N,N,,always 10,01 or 10, 
Sender Id,Header ,X(30),AN,30,207,-,236,Y ,Y ,Identifies the sender of the transmission,Express Scripts-assigned identifier for the Partner– see comments,Express Scripts Identifier= MHS,"Express Scripts will assign a code to the Trading Partner.
When Partner is sending a transaction to Express Scripts, Partner should pass Sender ID = the Express Scripts assigned ID for the Partner and Receiver ID = MHS; this applies to both DQ and DR records

On transactions from Express Scripts to Partner, both DQ and DR records will show Sender ID = MHS and Receiver ID = the Express Scripts assigned ID for the Partner
"
Receiver Id,Header ,X(30),AN,30,237,-,266,Y ,Y ,Identifies to whom the transmission will be sent, MHS,"Trading partner Identifier
Express Scripts-assigned identifier for the Partner",See comments under Sender ID
Submission Number,Header ,9(4),N,4,267,-,270,Y ,Y ,Tracks the number of times the transaction has been retransmitted ,Default to Zeros,Increment by one until successful receipt,"Applies to REALTIME connections only.

Each partner must increment this field by 1 each time a transaction 
is resent due to lack of response. 

See prior discussion on Response Transactions.
"
Transaction Response Status,Header ,X(1),AN,1,271,-,271,N,Y ,,"Space
For Response records:
A = Approved
E = Duplicate Record
R = Rejected","Space
For Response records:
A = Approved
E = Duplicate Record
R = Rejected","Required in Response (DR) transactions when error conditions exist.
Not used in Request (DQ) transactions. Space Filled"
Reject Code,Header ,X(3),AN,3,272,-,274,Y ,Y ,"Indicates whether receiver successfully loaded the transaction or not, and if not, why","Required in Response transaction when error conditions exist.  if Request transaction was not processed.

Not used in Request transactions. Space Filled.
If Transaction Response Status = A, default to '000'","Required in Response transaction when error conditions exist.  if Request transaction was not processed.

Not used in Request transactions. Space Filled.",See Critical Success Factors  (Error Handling section) for notes on handling Over Accumulations
Record Length,Header ,9(5),N,5,275,-,279,Y,Y,Record Length,01700,01700,Express Scripts cannot accept a leading space in this field
Reserved,Header ,X(20),AN,20,280,-,299,N,N,,Spaces,Express Scripts Use Only,"If populated by Express Scripts, Partner should ignore."
Transmission Date,Profile,9(8),N,8,300,-,307,Y,Y ,The date the file was created,CCYYMMDD – the Current date,CCYYMMDD – the Current date,"Format=CCYYMMDD
CC=Century
YY=Year
MM=Month
DD=Day
"
Transmission Time,Profile,9(8),N,8,308,-,315,Y,Y ,The actual time the transaction was sent by the originator,"HHMMSSDD (down to the milliseconds) for the  current time
","HHMMSSDD (down to the milliseconds) for the  current time
",Format= HHMMSSDD
Date of Service,Profile,9(8),N,8,316,-,323,Y,Y ,"Identifies the date on which the service was performed or, for a flat adjustment, the effective date of the adjustment.",CCYYMMDD,CCYYMMDD,Note: Express Scripts cannot load an inbound transaction if the patient was not eligible for Rx benefits on the date of service passed.  See additional  notes in the “Prior Balance Load” section of this document.
Service Provider ID Qualifier,Profile,X(2),AN,2,324,-,325,Y,Y ,Qualifies the identification number being used to identify the provider,"ID Qualifier per Partner
(free form: partner can default to space)","07 = NCPDP/NABP
01 or 08 = NPI (depending on ESI configuration)
99 = Copay Assist","Express Scripts Default is to pass 07, unless Partner indicates that NPI is required"
Service Provider ID,Profile,X(15),AN,15,326,-,340,Y,Y ,"Service Provider Identification number qualified by Service Provider ID Qualifier
",ID Number of Provider (free form; partner can default to space),ID Number of Provider  (NCPDP or NPI), Express Scripts stores this value for use in Reconciliation processing only if  explicitly requested by the CDH Partner
Document Reference Identifier Qualifier,Profile,X(2),AN,2,341,-,342,Y,Y ,"Qualifies the Document Rference ID used to identify the claim document
",05 =  Default qualifier for Medical Claim Reference Id,"01 =  Prescription No.
90 = Flat Adjustment",NOTE:  A value of 90 is populated in this field for outbound  flat adjustments (adjustments that debit or credit accumulators but are not tied to a specific claim)
 Document Reference Identifer,Profile,X(15),AN,15,343,-,357,Y,Y ,"Document Reference ID qualified by Document Refernce ID Qualifier
","Assigned by Partner.  Default to ‘999999999999999’
","Pharmacy-assigned prescription number
NOTE:  The string “FLAT” appears in this field for  flat adjustments (adjustments that debit or credit accumulators but are not tied to a specific claim)","For NCPDP claim versions prior to D.0, the prescription number will always be 7 bytes.  For D.0 and subsequent versions, the number may be up to 12 bytes. "
Transmission ID,Profile,X(50),AN,50,358,-,407,Y,Y ,"Serves as part of the key to uniquely identify a transaction.  When duplicate checking is turned on at a transaction level, the following fields must be unique: Sender ID, Cardholder ID, and THE FIRST 26 BYTES OF THE Transmission ID ",See comment area,CCYYMMDDHHMMSSLLL#@@@@@@@@,"Format of Express Scripts transaction Signature = CCYYMMDDHHMMSSLLL#@@@@@@@@
Comprised of:
CCYYMMDDHHMMSS = Date and Time
LLL = Milliseconds
# = sequence number
@@@@@@@@ identifies the Express Scripts application from which the transaction originated 
Express Scripts utilizes the combination of Transmission Id, Sender Id and Cardholder Id as the overall unique key to the transaction.  

It is required that the partner also populate this field such that transactions can be uniquely identified, so that Express Scripts standard duplicate checking and reconciliation procedures can be implemented with the partner.
Millisecond is a new feature that  was implemented due to increased processing speed.  Beginning 1/1/2010, all new partners will be set up this way to receive claims from Express Scripts in this format to further ensure uniqueness.  Partners in effect before that date will still receive data in the original format, but it is recommended that they migrate to the new format.  
If multiple flat adjustments are sent, the signature will not be unique.  It will be necessary to contact the Express Scripts CDH Triage team.
"
Benefit Type,Profile,X(1),AN,1,408,-,408,Y,Y ,Identifies the benefit type,"9 = Medical

Others not used:
A = Dental
B = Lab
C = Behavior Health
E = Vision


",D = Pharmacy,
