organization_id,organization_name,action,incentive_name,track_name,countries
67,VIP Test Accounts Primary,CA_INTRO,$25 Amazon Gift Card,Postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
67,VIP Test Accounts Primary,CA_INTRO,$25 Amazon Gift Card,Pregnancy,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
67,VIP Test Accounts Primary,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,egg_freezing,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
67,VIP Test Accounts Primary,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,fertility,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
67,VIP Test Accounts Primary,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
179,100 Thieves LLC,CA_INTRO,$25 Amazon Gift Card,Postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
179,100 Thieves LLC,CA_INTRO,$25 Amazon Gift Card,Pregnancy,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
179,100 Thieves LLC,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,egg_freezing,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
179,100 Thieves LLC,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,fertility,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
179,100 Thieves LLC,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
280,Dimensional Fund Advisors,CA_INTRO,Maven Welcome Box,postpartum,US
280,Dimensional Fund Advisors,CA_INTRO,Maven Welcome Box,pregnancy,US
567,Castlight Testing,CA_INTRO,$25 Amazon Gift Card,Postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
567,Castlight Testing,CA_INTRO,$25 Amazon Gift Card,Pregnancy,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
567,Castlight Testing,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,egg_freezing,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
567,Castlight Testing,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,fertility,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
567,Castlight Testing,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
609,Saks Off 5th - Digital,CA_INTRO,$25 Amazon Gift Card,Postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
609,Saks Off 5th - Digital,CA_INTRO,$25 Amazon Gift Card,Pregnancy,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
609,Saks Off 5th - Digital,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,egg_freezing,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
609,Saks Off 5th - Digital,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,fertility,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
609,Saks Off 5th - Digital,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
706,Test - Richmond Active,CA_INTRO,$25 Amazon Gift Card,Postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
706,Test - Richmond Active,CA_INTRO,$25 Amazon Gift Card,Pregnancy,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
706,Test - Richmond Active,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,egg_freezing,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
706,Test - Richmond Active,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,fertility,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
706,Test - Richmond Active,OFFBOARDING_ASSESSMENT,$20 Amazon Gift Card,postpartum,"US, AU, CA, FR, DE, IT, JP, MX, SG, ES, SE, AE, GB"
