organization_id,gift_card_allowed,welcome_box_allowed
216,Y,N
271,Y,N
92,Y,N
93,Y,N
3,Y,N
326,Y,N
23,Y,N
40,Y,N
292,Y,N
140,Y,N
143,Y,N
535,Y,N
103,Y,N
117,Y,N
314,Y,N
171,Y,N
150,Y,N
21,Y,N
111,Y,N
20,Y,N
16,Y,N
101,Y,N
63,Y,N
36,Y,N
88,Y,N
229,Y,N
1,Y,N
9,Y,N
59,Y,N
121,Y,N
199,Y,N
18,Y,N
28,Y,N
122,Y,N
74,Y,N
30,Y,N
120,Y,N
327,Y,N
212,Y,N
148,Y,N
392,Y,N
307,Y,N
461,Y,N
15,Y,N
577,Y,N
401,Y,N
225,Y,N
321,Y,N
488,Y,N
346,Y,N
294,Y,N
114,Y,N
48,Y,N
296,Y,N
600,Y,N
456,Y,N
197,Y,N
283,Y,N
245,Y,N
251,Y,N
393,Y,N
149,Y,N
479,Y,N
634,Y,N
502,Y,N
24,Y,N
145,Y,N
617,Y,N
282,Y,N
485,Y,N
25,Y,N
489,Y,N
325,Y,N
86,Y,N
568,Y,N
484,Y,N
69,Y,N
349,Y,N
87,Y,N
474,Y,N
358,Y,N
264,Y,N
602,Y,N
395,Y,N
232,Y,N
217,Y,N
353,Y,N
288,Y,N
338,Y,N
124,Y,N
180,Y,N
306,Y,N
185,Y,N
261,Y,N
235,Y,N
425,Y,N
190,Y,N
184,Y,N
29,Y,N
482,Y,N
599,Y,N
7,Y,N
457,Y,N
491,Y,N
153,Y,N
209,Y,N
258,Y,N
75,Y,N
83,Y,N
276,Y,N
414,Y,N
177,Y,N
300,Y,N
165,Y,N
501,Y,N
420,Y,N
409,Y,N
108,Y,N
431,Y,N
543,Y,N
303,Y,N
571,Y,N
371,Y,N
76,Y,N
448,Y,N
105,Y,N
228,Y,N
146,Y,N
263,Y,N
359,Y,N
404,Y,N
564,Y,N
320,Y,N
113,Y,N
175,Y,N
387,Y,N
78,Y,N
492,Y,N
344,Y,N
240,Y,N
560,Y,N
357,Y,N
481,Y,N
380,Y,N
8,Y,N
174,Y,N
466,Y,N
100,Y,N
79,Y,N
281,Y,N
561,Y,N
584,Y,N
367,Y,N
70,Y,N
26,Y,N
224,Y,N
293,Y,N
493,Y,N
469,Y,N
418,Y,N
182,Y,N
46,Y,N
211,Y,N
400,Y,N
181,Y,N
644,Y,N
259,Y,N
119,Y,N
162,Y,N
125,Y,N
374,Y,N
308,Y,N
405,Y,N
604,Y,N
272,Y,N
363,Y,N
619,Y,N
335,Y,N
633,Y,N
249,Y,N
95,Y,N
186,Y,N
528,Y,N
513,Y,N
608,Y,N
553,Y,N
22,Y,N
378,Y,N
157,Y,N
5,Y,N
236,Y,N
215,Y,N
328,Y,N
416,Y,N
468,Y,N
278,Y,N
32,Y,N
476,Y,N
126,Y,N
578,Y,N
241,Y,N
601,Y,N
286,Y,N
169,Y,N
301,Y,N
84,Y,N
332,Y,N
10,Y,N
91,Y,N
43,Y,N
589,Y,N
231,Y,N
226,Y,N
136,Y,N
350,Y,N
152,Y,N
467,Y,N
94,Y,N
284,Y,N
342,Y,N
137,Y,N
556,Y,N
454,Y,N
421,Y,N
478,Y,N
248,Y,N
533,Y,N
369,Y,N
291,Y,N
631,Y,N
424,Y,N
593,Y,N
582,Y,N
486,Y,N
529,Y,N
163,Y,N
460,Y,N
233,Y,N
331,Y,N
223,Y,N
304,Y,N
158,Y,N
252,Y,N
160,Y,N
574,Y,N
475,Y,N
495,Y,N
31,Y,N
71,Y,N
618,Y,N
490,Y,N
172,Y,N
391,Y,N
129,Y,N
161,Y,N
555,Y,N
208,Y,N
426,Y,N
311,Y,N
340,Y,N
189,Y,N
573,Y,N
289,Y,N
99,Y,N
408,Y,N
273,Y,N
629,Y,N
588,Y,N
116,Y,N
330,Y,N
285,Y,N
17,Y,N
210,Y,N
66,Y,N
517,Y,N
195,Y,N
255,Y,N
500,Y,N
254,Y,N
90,Y,N
274,Y,N
345,Y,N
347,Y,N
141,Y,N
597,Y,N
319,Y,N
322,Y,N
562,Y,N
220,Y,N
361,Y,N
81,Y,N
60,Y,N
203,Y,N
207,Y,N
504,Y,N
39,Y,N
423,Y,N
299,Y,N
239,Y,N
483,Y,N
530,Y,N
480,Y,N
581,Y,N
187,Y,N
221,Y,N
13,Y,N
6,Y,N
38,Y,N
437,Y,N
142,Y,N
382,Y,N
85,Y,N
238,Y,N
266,Y,N
430,Y,N
222,Y,N
419,Y,N
432,Y,N
373,Y,N
262,Y,N
247,Y,N
151,Y,N
96,Y,N
227,Y,N
596,Y,N
570,Y,N
196,Y,N
575,Y,N
444,Y,N
250,Y,N
109,Y,N
310,Y,N
341,Y,N
27,Y,N
472,Y,N
399,Y,N
267,Y,N
603,Y,N
253,Y,N
61,Y,N
65,Y,N
62,Y,N
386,Y,N
168,Y,N
438,Y,N
362,Y,N
537,Y,N
514,Y,N
355,Y,N
256,Y,N
626,Y,N
343,Y,N
53,Y,N
