id,Affiliated Network,Fertility Clinic Name,Fertility Clinic Location Name,Full Address,City,Subdivision Code,Postal Code,Fertility Clinic Notes,Domain,Self - Pay Discount Rate (%),Point of Contact Email(s),Name
1,Pinnacle Fertility,Advanced Fertility Care (AFC),Advanced Fertility Care (AFC) - Mesa,"1550 S. Alma School Rd, Suite 100 ",Mesa,US-AZ,85210,"20% discount on self pay services provided by the clinic
",azfertility.com ,20%,emarshall@azfertility.com,E-Beth Marshall
2,Pinnacle Fertility,Advanced Fertility Care (AFC),Advanced Fertility Care (AFC) - Scottsdale,"9819 North 95th Street, Suite 105 ",Scottsdale,US-AZ,85258,"20% discount on self pay services provided by the clinic
",pinnaclefertility.com,20%,emarshall@azfertility.com,E-Beth Marshall
3,Pinnacle Fertility,Advanced Fertility Care (AFC),Advanced Fertility Care (AFC) - Glendale,"17612 N .59th Ave, Suite 100 ",Glendale,US-AZ,85308,"20% discount on self pay services provided by the clinic
",pinnaclefertility.com,20%,emarshall@azfertility.com,E-Beth Marshall
4,Pinnacle Fertility,Advanced Fertility Care (AFC),Advanced Fertility Care (AFC) - Glendale,"17612 N .59th Ave, Suite 100 ",Glendale,US-AZ,85308,"20% discount on self pay services provided by the clinic
",azfertility.com ,20%,emarshall@azfertility.com,E-Beth Marshall
5,Pinnacle Fertility,Advanced Fertility Care (AFC),Advanced Fertility Care (AFC) - Scottsdale,"9819 North 95th Street, Suite 105 ",Scottsdale,US-AZ,85258,"20% discount on self pay services provided by the clinic
",azfertility.com ,20%,emarshall@azfertility.com,E-Beth Marshall
6,Pinnacle Fertility,Advanced Fertility Care (AFC),Advanced Fertility Care (AFC) - Mesa,"1550 S. Alma School Rd, Suite 100 ",Mesa,US-AZ,85210,"20% discount on self pay services provided by the clinic
",pinnaclefertility.com,20%,emarshall@azfertility.com,E-Beth Marshall
19,Prelude Network,Aspire Fertility,Aspire Fertility San Antonio – Sonterra,"150 E Sonterra Blvd, Suite 220 ",San Antonio,US-TX,78258,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
20,Prelude Network,Aspire Fertility,Aspire Fertility - Austin,"220 Bend Drive, Suite 402 ",Austin,US-TX,78758,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
21,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Memorial City,"929 Gessner, #1320 ",Houston,US-TX,77024,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
22,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Beaumont,"6025 Metropolitan Drive, Suite 250 ",Beaumont,US-TX,77706,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
23,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Beaumont,"6025 Metropolitan Drive, Suite 250 ",Beaumont,US-TX,77706,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
24,Prelude Network,Aspire Fertility,Aspire Fertility Dallas - Frisco,"5880 Frisco Square Blvd, Suite 2500 ",Frisco,US-TX,75034,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
25,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Sugar Land,"16651 Southwest Freeway, Suite 400 ",Sugar Land,US-TX,77479,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
27,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Women's,"6400 Fannin, Suite 730 ",Houston,US-TX,77054,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
28,Prelude Network,Aspire Fertility,Aspire Fertility Institute - Austin,911 W. 38th Street ,Austin,US-TX,78705,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
29,Prelude Network,Aspire Fertility,Aspire Houston Fertility - The Woodlands,"17183 I-45 South, Suite 540 ",The Woodlands,US-TX,77385,"20% discount on self pay services provided by the clinic
",aspirefertility.com,20%, dpacheco@inceptionllc.com,
30,Prelude Network,Aspire Fertility,Aspire Fertility - McAllen,5300 N McColl Rd ,McAllen,US-TX,78504,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
31,Prelude Network,Aspire Fertility,Aspire Fertility - Austin,"220 Bend Drive, Suite 402 ",Austin,US-TX,78758,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
32,Prelude Network,Aspire Fertility,Aspire Fertility San Antonio – Sonterra,"150 E Sonterra Blvd, Suite 220 ",San Antonio,US-TX,78258,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
33,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Cypress,"27700 Northwest Freeway, Suite 430 ",Cypress,US-TX,77433,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
34,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Women's,"6400 Fannin, Suite 730 ",Houston,US-TX,77054,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
35,Prelude Network,Aspire Fertility,Aspire Fertility - McAllen,5300 N McColl Rd ,McAllen,US-TX,78504,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
36,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Kingwood,"350 Kingwood Medical Drive, #210 ",Kingwood,US-TX,77339,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
37,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Pearland,"10907 Memorial Hermann Drive, Suite 330 ",Pearland,US-TX,77584,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
38,Prelude Network,Aspire Fertility,Aspire HFI Clear Lake,400 W. Medical Center Blvd Ste 225 ,Webster,US-TX,77598,"20% discount on self pay services provided by the clinic
",rbaivf.com,20%, dpacheco@inceptionllc.com,
39,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Piney Point,"2500 Fondren, Suite 300 ",Houston,US-TX,77063,"20% discount on self pay services provided by the clinic
",inceptionllc.com,20%, dpacheco@inceptionllc.com,
40,Prelude Network,Aspire Fertility,Aspire HFI Clear Lake,400 W. Medical Center Blvd Ste 225 ,Webster,US-TX,77598,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
41,Prelude Network,Aspire Fertility,Aspire Houston Fertility - Katy,"23920 Katy Freeway, Suite 340 ",Katy,US-TX,77494,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
42,Prelude Network,Aspire Fertility,Aspire Houston Fertility - The Woodlands,"17183 I-45 South, Suite 540 ",The Woodlands,US-TX,77385,"20% discount on self pay services provided by the clinic
",aspirehfi.com,20%, dpacheco@inceptionllc.com,
