balance_transaction_id,created_utc,reporting_category,charge_id,payment_method_type,card_funding,payment_metadata[bill_uuid],payment_metadata[copay_passthrough],payment_metadata[recouped_fee],refund_metadata[bill_uuid],refund_metadata[copay_passthrough],refund_metadata[recouped_fee]
txn_1OTbMKKA296nhejwbfmZC4re,2024-01-01 02:36:07,fee,,,,,,,,,
txn_1OTeYwKA296nhejwg2woaVLp,2024-01-01 06:01:22,fee,,,,,,,,,
txn_1OTeZOKA296nhejwpWQkBeTf,2024-01-01 06:01:49,fee,,,,,,,,,
txn_1OTeZhKA296nhejwSVOMB5mB,2024-01-01 06:02:09,fee,,,,,,,,,
txn_3OSmJ8KA296nhejw1COdJzqD,2024-01-01 21:04:35,charge,py_3OSmJ8KA296nhejw1hPcSz0L,us_bank_account,,138790f8-c104-45b9-a961-172230f08189,2.50,0.00,,,
txn_3OSm1EKA296nhejw0Vf9wXd0,2024-01-01 21:27:58,charge,py_3OSm1EKA296nhejw0KqLogVq,us_bank_account,,5186004a-0964-4f49-a25b-11395f8fb81a,5.00,0.00,,,
txn_3OSmEPKA296nhejw0zdmfnEu,2024-01-01 21:30:30,charge,py_3OSmEPKA296nhejw0g5kvpWi,us_bank_account,,b572a23d-2bca-480a-9965-ffd91dba9efd,5.00,0.00,,,
txn_3OSleQKA296nhejw1QH7gwGe,2024-01-01 21:31:10,charge,py_3OSleQKA296nhejw11xC400d,us_bank_account,,a44d95a6-0ec8-4246-94a1-efbe2762ec1e,5.00,0.00,,,
txn_1OVFJPKA296nhejwQOTtjlk0,2024-01-05 15:27:55,transfer,,,,,,,,,
txn_1OVFxMKA296nhejwSyisDzNA,2024-01-05 16:09:11,transfer,,,,,,,,,
txn_1OVH20KA296nhejwUEWkXa1Q,2024-01-05 17:18:04,transfer,,,,,,,,,
txn_3OVL5rKA296nhejw1PgLDTjW,2024-01-07 21:07:11,charge,py_3OVL5rKA296nhejw1FAnjyxh,us_bank_account,,14e785d0-eb8d-41b9-8ce8-f1fc31eecd7e,395.20,0.00,,,
txn_3OVLIKKA296nhejw1ergUSyf,2024-01-07 21:15:18,charge,py_3OVLIKKA296nhejw1CehfFu2,us_bank_account,,cde1d058-987a-47c6-8884-6b28c9f33bdc,8.40,0.00,,,
txn_3OVLJaKA296nhejw1BX7U0PP,2024-01-07 21:15:22,charge,py_3OVLJaKA296nhejw19VQwOy3,us_bank_account,,d81221df-a155-43f9-9436-461873befbb8,993.13,0.00,,,
txn_3OVwQsKA296nhejw1alX54y6,2024-01-07 21:19:45,charge,py_3OVwQsKA296nhejw1VkiCfWH,us_bank_account,,fb02da0e-1bf1-4029-9363-936cd652e6db,2618.40,0.00,,,
txn_3OVZxLKA296nhejw1P1xB5nk,2024-01-07 21:39:15,charge,py_3OVZxLKA296nhejw1vyzxsj3,us_bank_account,,f6b9e7d8-eb6e-46e4-a0f2-672e8920c8d0,160.00,0.00,,,
txn_3OVZxKKA296nhejw12Lj1gRz,2024-01-07 21:39:17,charge,py_3OVZxKKA296nhejw11ExABDf,us_bank_account,,ee23c692-3089-4bcf-a8d9-87cd6c687afb,171.00,0.00,,,
txn_3OVNiiKA296nhejw0tyYq9UG,2024-01-07 21:39:54,charge,py_3OVNiiKA296nhejw0Ih0osgB,us_bank_account,,83c7c38c-cfa9-4a31-8d83-5f6d0bc6f7f5,177.11,0.00,,,
txn_3OVNieKA296nhejw0riHw5KZ,2024-01-07 21:39:58,charge,py_3OVNieKA296nhejw0wcSZZI3,us_bank_account,,9d2185a9-68c3-4aca-9d2b-b09b51a60ded,409.44,0.00,,,
txn_3OVOcHKA296nhejw08jKGwma,2024-01-07 21:41:14,charge,py_3OVOcHKA296nhejw0sij1ges,us_bank_account,,d5bda379-28a2-487c-a1de-7f5178e72ff7,315.00,0.00,,,
