organization_id,reimbursement_id,date_sent_to_client,date_of_client_approval,date_of_send_to_peakone,date_of_member_payment
30,799776049562894178,2020-02-01,2020-02-01,2020-02-01,2020-02-01
30,799776332241944819,2020-02-01,2020-02-01,2020-02-01,2020-02-01
30,799776594335773797,2020-02-01,2020-02-01,2020-02-01,2020-02-01
30,799777098157634947,2020-02-01,2020-02-01,2020-02-01,2020-02-01
30,799777236615256889,2020-02-01,2020-02-01,2020-02-01,2020-02-01
30,799777435638536068,2020-02-01,2020-02-01,2020-02-01,2020-02-01
30,799777599355039639,2020-02-01,2020-02-01,2020-02-01,2020-02-01
30,799777721464256738,2020-02-01,2020-02-01,2020-02-01,2020-02-01
30,805332751683375861,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805333159119784456,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805334326247703731,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805334972924523056,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805335236211263068,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805335678053243403,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805335883453637754,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805337290398836339,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805341097347578760,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805341791162901784,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805342199493051321,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805342582678916577,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,805342852152548329,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,806574771597398562,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,807117419531702373,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,808162077796705004,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,809211962048315283,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,809660423971227202,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,809660647790833233,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,809662342134890417,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,809663060957398772,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,809663363134975733,2020-02-15,2020-02-15,2020-02-15,2020-02-15
30,814609634415764531,2020-02-28,2020-02-28,2020-02-28,2020-02-28
39,812194474149346044,2020-02-28,2020-02-28,2020-02-28,2020-02-28
39,814958396049801779,2020-02-28,2020-02-28,2020-02-28,2020-02-28
39,816326665201147214,2020-03-05,2020-03-05,2020-03-05,2020-03-05
30,812197351229478304,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,812197651357484042,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,812198186294043070,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,812205951061627928,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,812206150384704941,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817118927171447492,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817146381615090152,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817146668066013554,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817147263550561309,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817186603547639393,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817187223596271925,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817187395990405325,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817201295357719822,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817201652868127550,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817202036352105190,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817202434346713942,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,817202673842377819,2020-03-06,2020-03-06,2020-03-06,2020-03-06
30,820856914200189221,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820882420152000866,2020-03-21,2020-03-21,2020-03-21,2020-03-21
30,820883832768929348,2020-03-21,2020-03-21,2020-03-21,2020-03-21
